TIPO DATO;TIPO  SITUADO;DISTRITO;DIRECCION COMPLETA;CLASE_VIAL;NOMBRE_VIAL;NUM;COORDENADA X;COORDENADA Y;LATITUD;LONGITUD;DIRECCIÓN COMPLETA AMPLIADA
Contenedor de aceite;Vía Pública;Salamanca;Avenida Bruselas, 57 ;Avenida;Bruselas;57;443767,9447;4476741,016;40,43941625;-3,663033016;Avenida Bruselas, 57 
Contenedor de aceite;Dependencias Municipales;Salamanca;Calle Elvira, 36 ;Calle;Elvira;36;443558,1;4474702,9;40,42104162;-3,66532617;Calle Elvira, 36  C.D.M FUENTE DEL BERRO
Contenedor de aceite;Dependencias Municipales;Salamanca;Calle Nuñez de Balboa, 40 ;Calle;Nuñez de Balboa;40;442107;4475350,5;40,42677583;-3,682489281;Calle Nuñez de Balboa, 40  JUNTA MUNICIPAL DISTRITO SALAMANCA
Contenedor de aceite;Dependencias Municipales;Salamanca;Calle Velazquez, 52 ;Calle;Velazquez;52;442011,7;4475415,7;40,42735655;-3,683618625;Calle Velazquez, 52  EDIFICIO ADSCRITO A LA JUNTA MUNICIPAL DE SALAMANCA
Contenedor de aceite;Dependencias Municipales;Salamanca;Calle Pilar de Zaragoza, 28 ;Calle;Pilar de Zaragoza;28;443247,7;4476088,9;40,43350632;-3,669108595;Calle Pilar de Zaragoza, 28  C.S.S LA GUINDALERA
Contenedor de aceite;Mercados Y Galerias;Salamanca;Calle Ayala, 28 ;Calle;Ayala;28;441833,3;4475420,7;40,42738914;-3,685722081;Calle Ayala, 28  MERCADO MUNICIPAL LA PAZ
Contenedor de aceite;Vía Pública;San Blas - Canillejas;Calle San Román del valle,  s/n ;Calle;San Román del valle; s/n;447323,4681;4474489,563;40,41936664;-3,620925631;Calle San Román del valle,  s/n 
Contenedor de aceite;Vía Pública;San Blas - Canillejas;Calle Castillo de Uclés, 26 c/v  Calle  Altas Torres;Calle;Castillo de Uclés;26;446951,383;4475435,232;40,42786217;-3,62539024;Calle Castillo de Uclés, 26 c/v  Calle  Altas Torres c/v  Calle  Altas Torres
Contenedor de aceite;Dependencias Municipales;San Blas - Canillejas;Calle Arcos de Jalón, 59 ;Calle;Arcos de Jalón;59;448142,8;4475530,2;40,42879282;-3,611353136;Calle Arcos de Jalón, 59  C.D.M SAN BLAS
Contenedor de aceite;Punto Limpio Fijo;San Blas - Canillejas;Calle San Romualdo, 10 ;Calle;San Romualdo;10;447149,0043;4,47685E+16;40,44060101;-3,623178093;Calle San Romualdo, 10  PUNTO LIMPIO FIJO SAN BLAS
Contenedor de aceite;Vía Pública;Tetuán;Avenida Asturias,  s/n ;Avenida;Asturias; s/n;441283,2307;4,47992E+16;40,46785612;-3,692622055;Avenida Asturias,  s/n 
Contenedor de aceite;Vía Pública;Tetuán;Calle Orense, 5 ;Calle;Orense;5;441013,349;4,47765E+16;40,44738828;-3,69559442;Calle Orense, 5 
Contenedor de aceite;Vía Pública;Tetuán;Calle Ceuta, 3 ;Calle;Ceuta;3;440740,7015;4,47927E+16;40,46194405;-3,698960381;Calle Ceuta, 3 
Contenedor de aceite;Vía Pública;Usera;Avenida Orcasur,  s/n ;Avenida;Orcasur; s/n;440543,4679;4,46885E+14;40,36809096;-3,700312984;Avenida Orcasur,  s/n 
Contenedor de aceite;Vía Pública;Usera;Calle Guetaria, 47 Esquina con Calle Villbona;Calle;Guetaria;47;439239,1717;4,46899E+16;40,36925375;-3,715687901;Calle Guetaria, 47 Esquina con Calle Villbona Esquina con Calle Villbona
Contenedor de aceite;Mercados Y Galerias;Usera;Calle Villabona, 2 ;Calle;Villabona;2;439266,6;44689502;40,36891637;-3,715361264;Calle Villabona, 2  MERCADO MUNICIPAL ORCASITAS
Contenedor de aceite;Punto Limpio Fijo;Usera;Calle Cristo de la Victoria, 245 ;Calle;Cristo de la Victoria;245;439780,0045;4,47002E+16;40,37862601;-3,709415892;Calle Cristo de la Victoria, 245  PUNTO LIMPIO FIJO USERA
Contenedor de aceite;Vía Pública;Vicálvaro;Calle Pedernal, 1 ;Calle;Pedernal;1;449230,2794;4,47296E+16;40,40566459;-3,598327817;Calle Pedernal, 1 
Contenedor de aceite;Vía Pública;Vicálvaro;Calle San Cipriano, 32 ;Calle;San Cipriano;32;448582,4066;4,4728E+16;40,40421;-3,60595;Calle San Cipriano, 32 
Contenedor de aceite;Vía Pública;Vicálvaro;Calle Calahorra, 17 ;Calle;Calahorra;17;447966,5115;4,47311E+14;40,40694222;-3,613232992;Calle Calahorra, 17 
Contenedor de aceite;Mercados Y Galerias;Vicálvaro;Calle San Cipriano, 11 ;Calle;San Cipriano;11;453159,67;447303412;40,4040797;-3,6079359;Calle San Cipriano, 11  MERCADO MUNICIPAL DE VICÁLVARO
Contenedor de aceite;Punto Limpio Fijo;Vicálvaro;Calle Sepiolita, 6 ;Calle;Sepiolita;6;448413,7935;4,47279E+16;40,40680201;-3,598730093;Calle Sepiolita, 6  PUNTO LIMPIO FIJO VICÁLVARO
Contenedor de aceite;Vía Pública;Villa de Vallecas;Calle Enrique García Álvarez, 5 ;Calle;Enrique García Álvarez;5;447866,8245;4,4702E+16;40,38077;-3,61417;Calle Enrique García Álvarez, 5 
Contenedor de aceite;Vía Pública;Villa de Vallecas;Avenida Suertes, 62 ;Avenida;Suertes;62;449022,0468;4,46873E+16;40,36754425;-3,600443236;Avenida Suertes, 62 
Contenedor de aceite;Dependencias Municipales;Villa de Vallecas;Paseo  Federico García Lorca, 12 ;Paseo; Federico García Lorca;12;447264,1025;4,46984E+16;40,37745;-3,62124;Paseo  Federico García Lorca, 12  JUNTA MUNICIPAL DISTRITO DE VILLA DE VALLECAS
Contenedor de aceite;Dependencias Municipales;Villa de Vallecas;Calle Peña Veiga, 6 ;Calle;Peña Veiga;6;447105,2903;4,46983E+16;40,37736;-3,62311;Calle Peña Veiga, 6  C.S.S PEÑA VEIGA
Contenedor de aceite;Dependencias Municipales;Villa de Vallecas;Calle Pico Mampodre, 6 ;Calle;Pico Mampodre;6;447094,5;4,46982E+16;40,37726369;-3,623236216;Calle Pico Mampodre, 6  CENTRO DE MAYORES VILLA DE VALLECAS
Contenedor de aceite;Dependencias Municipales;Villa de Vallecas;Calle Zazuar, 4 ;Calle;Zazuar;4;448540,0337;4,47046E+16;40,3831;-3,60626;Calle Zazuar, 4  CENTRO CULTURAL ZAZUAR
Contenedor de aceite;Dependencias Municipales;Villa de Vallecas;Calle Cerro Almodovar, 9 ;Calle;Cerro Almodovar;9;448853,9365;4,47043E+16;40,38289;-3,60256;Calle Cerro Almodovar, 9  C.D.M CERRO ALMODOVAR
Contenedor de aceite;Punto Limpio Fijo;Villa de Vallecas;Calle Luis I, 36 ;Calle;Luis I;36;445357,002;4,4697E+13;40,37607401;-3,643692793;Calle Luis I, 36  PUNTO LIMPIO FIJO VILLA DE VALLECAS
Contenedor de aceite;Vía Pública;Villaverde;Paseo  Ferroviarios, s/n ;Paseo; Ferroviarios;s/n;439242,7578;4,46665E+16;40,34820366;-3,715423116;Paseo  Ferroviarios, s/n 
Contenedor de aceite;Vía Pública;Villaverde;Calle Benimamet, 24 ;Calle;Benimamet;24;441803,662;4,46612E+16;40,34356215;-3,68522146;Calle Benimamet, 24 
Contenedor de aceite;Dependencias Municipales;Villaverde;Calle José Ortuño Ponce, 3 ;Calle;José Ortuño Ponce;3;440094,5316;4,46639E+14;40,34595;-3,70537;Calle José Ortuño Ponce, 3  C.M.M JOSÉ ORTUÑO PONCE
Contenedor de aceite;Dependencias Municipales;Villaverde;Calle Villalonso, 12 ;Calle;Villalonso;12;439783,9696;4,46686E+16;40,35008;-3,70907;Calle Villalonso, 12  C.M.M VILLALONSO
Contenedor de aceite;Dependencias Municipales;Villaverde;Calle Arama, 3 ;Calle;Arama;3;440727,4669;4,46706E+16;40,35202;-3,69798;Calle Arama, 3  C.M.M NUESTRA SEÑORA DE LOS ÁNGELES
Contenedor de aceite;Dependencias Municipales;Villaverde;Calle Leonor Góngora, 62 ;Calle;Leonor Góngora;62;441693,4073;4,46667E+14;40,34853;-3,68657;Calle Leonor Góngora, 62  C.M.M EDUARDO MINGUITO
Contenedor de aceite;Dependencias Municipales;Villaverde;Calle Concepción de la Oliva, s/n ;Calle;Concepción de la Oliva;s/n;442109,251;4,46729E+16;40,35415;-3,68173;Calle Concepción de la Oliva, s/n  C.M.M LA PLATANERA
Contenedor de aceite;Dependencias Municipales;Villaverde;Plaza Pinazo, s/n ;Plaza;Pinazo;s/n;441247,0331;4,46606E+16;40,34304;-3,69177;Plaza Pinazo, s/n  C.M.M MARIA ZAMBRANO
Contenedor de aceite;Dependencias Municipales;Villaverde;Avenida Felicidad, 26 ;Avenida;Felicidad;26;441550,3979;4,46783E+16;40,35896;-3,68836;Avenida Felicidad, 26  C.M.M MIGUEL DELIBES
Contenedor de aceite;Dependencias Municipales;Villaverde;Calle San Luciano, 16 ;Calle;San Luciano;16;440723,95;446828558;40,363034;-3,698135003;Calle San Luciano, 16  C.M.M SAN LUCIANO
Contenedor de aceite;Punto Limpio Fijo;Villaverde;Avenida Real de Pinto, 108 ;Avenida;Real de Pinto;108;439669,0073;4,46558E+14;40,33862001;-3,710303492;Avenida Real de Pinto, 108  PUNTO LIMPIO FIJO DE VILLAVERDE
Contenedor de aceite;Punto Limpio De Movilidad;Villaverde;Avenida Real de Pinto, 108 ;Avenida;Real de Pinto;108;439669,0073;4,46558E+14;40,33862001;-3,710303492;Avenida Real de Pinto, 108  PUNTO LIMPIO FIJO DE VILLAVERDE
Contenedor de aceite;Punto Limpio De Proximidad;Villaverde;Avenida Real de Pinto, 108 ;Avenida;Real de Pinto;108;439669,0073;4,46558E+14;40,33862001;-3,710303492;Avenida Real de Pinto, 108  PUNTO LIMPIO FIJO DE VILLAVERDE
Contenedor de aceite;Dependencias Municipales;Chamartín;Calle Mantuano, 51 ;Calle;Mantuano;51;442658,88;4477740;40,44833985;-3,676199338;Calle Mantuano, 51  CENTRO CULTURAL NICOLÁS SALMERÓN
Contenedor de aceite;Dependencias Municipales;Chamartín;Paseo Castellana, 304 ;Paseo;Castellana;304;441951,33;4,48138E+16;40,48105756;-3,684875351;Paseo Castellana, 304  CENTRO DE MAYORES CASTILLA
Contenedor de aceite;Dependencias Municipales;Chamartín;Calle Santa Hortensia, 15 ;Calle;Santa Hortensia;15;443252,05;4,47734E+16;40,44475706;-3,669168854;Calle Santa Hortensia, 15  CENTRO DE MAYORES SANTA HORTENSIA
Contenedor de aceite;Dependencias Municipales;Latina;Calle Fuente del Tiro, 72 ;Calle;Fuente del Tiro;72;433795,98;447056079;40,38300867;-3,779959987;Calle Fuente del Tiro, 72  CENTRO SOCIOCULTURAL ALMIRANTE CHURRUCA
Contenedor de aceite;Dependencias Municipales;Latina;Calle Serradilla, 13 ;Calle;Serradilla;13;433628,79;447009672;40,37881485;-3,78188117;Calle Serradilla, 13  CENTRO CULTURAL MIGUEL HERNÁNDEZ
Contenedor de aceite;Dependencias Municipales;Latina;Calle Rodrigo Arana, 50 ;Calle;Rodrigo Arana;50;434975,7;4,47012E+16;40,37914778;-3,766017922;Calle Rodrigo Arana, 50  CENTRO SOCIOCULTURAL LATINA
Contenedor de aceite;Dependencias Municipales;Latina;Calle María del Carmen, 65 ;Calle;María del Carmen;65;437827,33;447313293;40,40649022;-3,732720948;Calle María del Carmen, 65  CENTRO SOCIOCULTURAL ROSARIO ACUÑA
Contenedor de aceite;Dependencias Municipales;San Blas - Canillejas;Calle Febrero, 4 ;Calle;Febrero;4;451429;4,47751E+16;40,44679862;-3,572764577;Calle Febrero, 4  CENTRO CULTURAL JOSÉ LUIS LÓPEZ VÁZQUEZ
Contenedor de aceite;Dependencias Municipales;San Blas - Canillejas;Calle Aliaga, 5 ;Calle;Aliaga;5;448138,4;44764455;40,43703813;-3,611479693;Calle Aliaga, 5  CENTRO CULTURAL MIGUEL DE CERVANTES
Contenedor de aceite;Dependencias Municipales;San Blas - Canillejas;Calle Boltaña, 27 ;Calle;Boltaña;27;448141,7;44775033;40,44656763;-3,611527135;Calle Boltaña, 27  CENTRO CULTURAL BUERO VALLEJO
Contenedor de aceite;Dependencias Municipales;San Blas - Canillejas;Plaza Mayor Ciudad Pegaso,  s/n ;Plaza;Mayor Ciudad Pegaso; s/n;449544,4;44775532;40,44710347;-3,594990938;Plaza Mayor Ciudad Pegaso,  s/n  CENTRO MUNICIPAL DE MAYORES CIUDAD PEGASO
Contenedor de aceite;Mercados Y Galerias;Chamartín;Calle Bolivia, 9;Calle;Bolivia;9;442489,4373;4,47876E+16;40,45754;-3,67829;Calle Bolivia, 9 MERCADO MUNICIPAL DE CHAMARTÍN
Contenedor de aceite;Dependencias Municipales;San Blas - Canillejas;Avenida Séptima, 11;Avenida;Séptima;11;449287,3299;4,47778E+16;40,44909;-3,59804;Avenida Séptima, 11 C.C CIUDAD PEGASO
Contenedor de aceite;Dependencias Municipales;Hortaleza;Carretera de Canillas, 2;Carretera;De Canillas;2;444280,5762;4,47937E+16;40,46317;-3,65722;Carretera de Canillas, 2 JUNTA MUNICIPAL DISTRITO HORTALEZA
Contenedor de aceite;Dependencias Municipales;Hortaleza;Carretera de la Estación de Hortaleza, 11;Carretera;De la Estación de Hortaleza;11;444675,0924;4,48113E+16;40,47901;-3,65272;Carretera de la Estación de Hortaleza, 11 C.D.M. HORTALEZA
Contenedor de aceite;Dependencias Municipales;Hortaleza;Calle de Santa Virgilia, 15;Calle;De Santa Virgilia;15;445593,1925;4,48091E+13;40,47708;-3,64187;Calle de Santa Virgilia, 15 C.C. HORTALEZA
Contenedor de aceite;Dependencias Municipales;Hortaleza;Calle El Provencio, 20;Calle;El Provencio;20;446695,4602;4,47964E+16;40,46572;-3,62876;Calle El Provencio, 20 C.D.M. LUIS ARAGONÉS
Contenedor de aceite;Dependencias Municipales;Hortaleza;Calle Carrión de los Condes, 73;Calle;Carrión de los Condes;73;444213,4769;4,48084E+16;40,47634;-3,65814;Calle Carrión de los Condes, 73 CENTRO MUNICIPAL DE MAYORES SAN BENITO
Contenedor de aceite;Dependencias Municipales;Ciudad Lineal;Calle San Nemesio, 4;Calle;San Nemesio;4;444207,1924;4478173,457;40,45235;-3,65798;Calle San Nemesio, 4 CENTRO CULTURAL SAN JUAN BAUTISTA
